px_GeV,py_GeV,pz_GeV,p_mag_GeV,KE_GeV,E_GeV
0.0,0.0,0.22146633309240865,0.22146633309240865,0.12220685457923455,0.26177685457923455
0.0,0.0,0.2190343619085276,0.2190343619085276,0.12015261471938835,0.25972261471938834
0.0,0.0,0.4751251646164093,0.4751251646164093,0.3556306734161112,0.49520067341611124
0.0,0.0,0.29457527635641634,0.29457527635641634,0.18639683625862777,0.32596683625862777
0.0,0.0,0.2511081580025394,0.2511081580025394,0.1477192130161317,0.2872892130161317
0.0,0.0,0.2607259948792684,0.2607259948792684,0.15616269908108624,0.29573269908108624
0.0,0.0,0.1822995027055556,0.1822995027055556,0.09002288662041094,0.22959288662041094
0.0,0.0,0.269842987000178,0.269842987000178,0.16423095874302016,0.30380095874302016
0.0,0.0,0.5370862403036224,0.5370862403036224,0.4153546925696139,0.5549246925696139
0.0,0.0,0.3859666711291483,0.3859666711291483,0.27085667569556937,0.4104266756955694
0.0,0.0,0.2622345311734817,0.2622345311734817,0.15749351886385468,0.2970635188638547
0.0,0.0,0.28948533048101316,0.28948533048101316,0.18180445676920468,0.3213744567692047
0.0,0.0,0.24487132255689245,0.24487132255689245,0.14228412807117383,0.2818541280711738
0.0,0.0,0.2500444564279981,0.2500444564279981,0.14678993974432433,0.28635993974432433
0.0,0.0,0.30604188595598203,0.30604188595598203,0.19679501134852642,0.3363650113485264
0.0,0.0,0.33747139922809055,0.33747139922809055,0.22562409934576608,0.3651940993457661
0.0,0.0,0.19012799555292395,0.19012799555292395,0.09628682011121212,0.23585682011121212
0.0,0.0,0.21087431840511137,0.21087431840511137,0.11330894942604516,0.25287894942604516
0.0,0.0,0.23331622457967505,0.23331622457967505,0.13230542285413252,0.2718754228541325
0.0,0.0,0.23536544704544773,0.23536544704544773,0.13406603301265616,0.27363603301265615
0.0,0.0,0.27845855273865366,0.27845855273865366,0.17190865174567835,0.31147865174567835
0.0,0.0,0.32426281669168716,0.32426281669168716,0.21345430396337686,0.35302430396337686
0.0,0.0,0.2881896793652612,0.2881896793652612,0.18063786403936435,0.32020786403936435
0.0,0.0,0.21595392514922984,0.21595392514922984,0.11756008903541251,0.2571300890354125
0.0,0.0,0.2358155334245705,0.2358155334245705,0.13445326672075628,0.2740232667207563
0.0,0.0,0.09596054663234455,0.09596054663234455,0.029805946964078622,0.16937594696407862
0.0,0.0,0.37243536721962833,0.37243536721962833,0.25815840941529355,0.3977284094152936
0.0,0.0,0.18741751547535648,0.18741751547535648,0.09410736306060005,0.23367736306060005
0.0,0.0,0.22422590645535656,0.22422590645535656,0.12454558459456025,0.26411558459456025
0.0,0.0,0.22977507346092074,0.22977507346092074,0.12927264781461204,0.26884264781461203
0.0,0.0,0.264472712018175,0.264472712018175,0.15947113479962674,0.29904113479962674
0.0,0.0,0.2613825996243224,0.2613825996243224,0.15674174172882324,0.29631174172882324
0.0,0.0,0.2289712253629542,0.2289712253629542,0.12858593773812424,0.26815593773812424
0.0,0.0,0.2466407656343347,0.2466407656343347,0.14382275250558338,0.2833927525055834
0.0,0.0,0.1867887702059511,0.1867887702059511,0.0936033895088623,0.2331733895088623
0.0,0.0,0.21888559260819015,0.21888559260819015,0.12002716398959098,0.259597163989591
0.0,0.0,0.154726168723274,0.154726168723274,0.06880459583112106,0.20837459583112106
0.0,0.0,0.3033106299962428,0.3033106299962428,0.19431190003160956,0.33388190003160956
0.0,0.0,0.289178625211354,0.289178625211354,0.18152821266884803,0.321098212668848
0.0,0.0,0.11318485434889022,0.11318485434889022,0.0401258434521497,0.1796958434521497
0.0,0.0,0.20798028796230245,0.20798028796230245,0.11090072699395884,0.25047072699395884
0.0,0.0,0.2407809953263659,0.2407809953263659,0.13873787378433158,0.2783078737843316
0.0,0.0,0.28696215794941715,0.28696215794941715,0.1795335333476993,0.3191035333476993
0.0,0.0,0.23851814881661967,0.23851814881661967,0.136782478213797,0.276352478213797
