delta_pdg,delta_px,delta_py,delta_pz,delta_E,delta_p,Enu,mu_E,wgt
2224,0.1544668038574733,0.1070927696210457,0.6312525313296782,1.3970084513377776,0.6586414905767597,0.8103823065757751,0.31929055226226255,1.0
2224,0.11417538632598759,0.3057520157855198,0.5138405647255059,1.3741820985433568,0.6087301865005744,1.1321473121643066,0.6332564032701636,1.0
2224,-0.34771391164643656,-0.38984070287127326,0.6170082604181046,1.4735684345804267,0.8084429054619812,0.9380256533622742,0.44692685355890505,1.0
2224,0.16408774081272873,0.0561504649185611,0.5724244765242141,1.3695150392455047,0.5981199233595353,0.8043797016143799,0.32262690639564645,1.0
2224,0.07885113850720296,0.2758211308362589,1.0715264448775934,1.6577960430438023,1.1092626922112223,1.2718864679336548,0.2291149068126701,1.0
2224,0.02694037029514265,0.14656595056856764,0.650831502830947,1.4012897653572212,0.6676743266704931,2.2159698009490967,1.7416848508795062,1.0
2224,0.07343566565511607,-0.36533587680472634,0.605466878705911,1.4224195024959292,0.7109523479676866,0.8540973663330078,0.33306830558170186,1.0
2224,0.36402829052582053,-0.19020058618991947,0.9766163906391547,1.6248988995488889,1.0594679956257245,1.3163337707519531,0.445903993901457,1.0
2224,-0.1406848757585842,-0.07169552404577506,1.1636974554204496,1.7020423761432721,1.174361209418736,1.0018678903579712,0.24847261032011475,1.0
2224,0.03975605671084656,0.13329416218176346,0.5097255426846864,1.3405193048151647,0.5283635174594593,0.7057355046272278,0.3225468189837546,1.0
2224,0.08196397745222737,-0.008842342182338337,0.3704461409034373,1.2891278539870699,0.3795083977006413,1.2424145936965942,0.8825515839536832,1.0
2214,0.27533631295761457,0.03303639773436979,0.8216785003587037,1.5066124407956034,0.8672122270586855,0.7906392812728882,0.22742255824149174,1.0
2214,0.2310981439910187,-0.0202974288568853,0.9977475244097648,1.602230464146812,1.0243624652632037,0.9090995192527771,0.28755707947659187,1.0
2224,0.12799206558369564,0.11478716754752331,0.6228355292952439,1.3911528166375005,0.6461285934227419,0.6538527011871338,0.20719927012656078,1.0
2214,0.2656199010493207,0.3918656368183278,1.156475048884511,1.7548137074472938,1.2496188010128997,1.5928938388824463,0.706674098058862,1.0
2214,-0.16018714273457563,-0.02892470485293068,1.1328809437857417,1.6815884728557011,1.144515527217158,1.3611690998077393,0.36580466353803714,1.0
2224,0.11485740651257266,0.25028436760561257,0.6629468545990824,1.425888151476599,0.7178669936146617,0.8256937265396118,0.2983284517639343,1.0
2224,-0.13882806122087915,0.3169119940667007,0.9422878688321908,1.5891623171702736,1.003799218127805,0.990224301815033,0.38222335631613436,1.0
2224,0.041369753251003255,-0.3442446025751148,0.8792427180771022,1.5527741497647873,0.9451367944259488,0.8786820769309998,0.2661208576578019,1.0
2224,-0.25714358335632603,0.4298706892747073,0.8155213669076639,1.5600675407948812,0.957071957504653,1.0106672048568726,0.3789305799453943,1.0
2224,-0.22156211192090858,0.07140464258775504,0.5353316983145557,1.3633020280342447,0.5837537320157232,1.9374195337295532,1.483631373444674,1.0
2224,0.11282397027323825,-0.23120271240352783,0.2979566857007864,1.2933623347866452,0.3936522946011647,1.1559237241744995,0.8203950487611982,1.0
2214,-0.016192105626349925,-0.17995475939708022,0.28801945299517306,1.2780552042137752,0.3400016250224616,0.6780861616134644,0.3639691747361705,1.0
2224,-0.00653263047197734,-0.1812588246516262,0.38193115724368376,1.3025332416673565,0.42281064987588934,1.2793147563934326,0.9233577007011688,1.0
2224,0.10753525235321616,0.06589729554179156,0.6546186936215013,1.4008054533364414,0.666657271839971,0.8594813942909241,0.3599429138769162,1.0
2224,0.37725403507943395,-0.26686259713235705,0.5940576215792993,1.4436982754330614,0.7526225551286617,1.5092767477035522,1.0050228855025851,1.0
