Enu,wgt,mu_px,mu_py,mu_pz,mu_E,mu_p,pi_px,pi_py,pi_pz,pi_E,pi_p,cos_open,open_angle_deg
1.1520822048187256,1.0,0.056505491812291773,0.2902283611445504,0.003494605745556767,0.31400894905546467,0.29569846886130036,-0.18164671168737084,-0.07974712929327726,0.6722844752589472,0.7147036680132204,0.7009433273607443,-0.14985220059335091,98.61836146698462
1.2159733772277832,1.0,0.3926029624390452,-0.09066383490172783,0.17846930536583028,0.4531802573289839,0.44069071924963893,-0.1276168071904908,-0.1812400257761875,0.12575627764455968,0.2905656942721621,0.2548502261875857,-0.09996591866515638,95.73720792657207
1.2722729444503784,1.0,-0.3365162742528757,-0.19140538570723353,0.23341408606051725,0.46424712781689675,0.4520634469698231,0.2830137804410936,-0.1412694718124981,0.28225945592022406,0.4463228080012522,0.42393898622575704,-0.012082988099196472,90.69232106900564
0.9479019045829773,1.0,-0.36840493300786853,0.021505644849771962,0.27317474780738193,0.47114028257469487,0.45913955423657776,-0.02555456695289461,-0.13172264194120203,0.23000193660912455,0.30064026017163414,0.26627951692923707,0.5677464135174336,55.40677464755837
0.8460795879364014,1.0,-0.16699404704658466,0.25004940350294386,0.1963529295147362,0.3743397179971609,0.3591186278518478,-0.21113400769503826,-0.08211448970171092,0.22163775402135533,0.34629963547767656,0.31692846611178943,0.5117489662011537,59.219602122045536
1.256725788116455,1.0,-0.14819330224540192,-0.14612271016925055,0.3175483260681133,0.39409906907561276,0.37967096365967284,0.28467329679963654,0.29312517162010326,0.22712304409882325,0.48787899545769026,0.4674891756060294,-0.07265889822383348,94.16671994940474
0.842120349407196,1.0,-0.15820685825969338,-0.23636783271741219,0.3508899969004,0.46388251515733164,0.4516889994993148,-0.15363648005045485,-0.0019911053554198532,0.09525541783603561,0.2283889490101216,0.18078088153880634,0.7127538345188938,44.540581108223655
0.9759673476219177,1.0,-0.1277323991092707,0.08961165194914336,0.17262402294456247,0.25555606595193403,0.2326904966792354,0.16192345371072867,0.39974331616196596,0.21968521420357479,0.5037413045576534,0.48402016178817026,0.47112845154825256,61.89242827331672
0.733308732509613,1.0,-0.047778213003261814,0.07944193687249235,0.31801295999105494,0.34769247517613955,0.33124918368821743,0.1621689868961366,0.030495595313644423,0.03123640936451183,0.21836725902579868,0.1679418795727863,0.08283331277770986,85.24855661543664
3.2999203205108643,1.0,-0.4643731738510525,0.18488836394031147,1.202184759947466,1.3062306015259981,1.3019502097864462,0.08642014303632851,0.04421222808397256,-0.057020638228969245,0.1793162020527082,0.11258115036988954,-0.6856979428983817,133.29052115004723
